model,accuracy,auc,precision,recall,f1,mcc
LogisticRegression,0.8223076923076923,0.8048034901819924,0.6146788990825688,0.26171875,0.36712328767123287,0.31779934649199515
DecisionTree,0.8538461538461538,0.7748518318965517,0.625,0.64453125,0.6346153846153846,0.5433967322238565
KNN,0.8323076923076923,0.826381405651341,0.5922330097087378,0.4765625,0.5281385281385281,0.4313559533464075
GaussianNB,0.7346153846153847,0.7486380507662834,0.39012345679012345,0.6171875,0.47806354009077157,0.32681131936520164
RandomForest,0.8876923076923077,0.916225155651341,0.8089887640449438,0.5625,0.663594470046083,0.6130342319842121
XGBoost,0.8869230769230769,0.9086521192528736,0.7632850241545893,0.6171875,0.6825053995680346,0.619786736881637
